setting,num_episodes,train_time,validity,proximity_cont,proximity_cat,sparsity,manifold,causality,time,air
01_0.99_256_0.0001_0.2,15000,0,94.163,0.592,0.922,1.0,2.29,60.744,22.81,0.07
01_0.99_256_0.0001_0.2,15000,0,98.054,0.747,0.925,2.0,3.285,73.016,19.19,0.07
01_0.99_256_0.0001_0.2,15000,0,91.44,0.459,0.919,1.0,1.701,47.66,22.94,0.07
01_0.99_256_0.0005_0.2,19530,0,93.385,0.735,0.959,1.0,3.155,57.5,30.48,0.1
01_0.99_256_0.0005_0.2,19530,0,92.996,0.319,0.059,1.0,0.892,100.0,5.45,0.48
01_0.99_256_0.0005_0.2,19530,0,92.996,0.319,0.059,1.0,0.892,100.0,5.46,0.44
01_0.99_256_0.0005_0.2,19530,0,93.385,0.735,0.959,1.0,3.155,57.5,30.09,0.11
01_0.99_256_0.0005_0.2,19530,0,93.385,0.735,0.959,1.0,3.155,57.5,30.04,0.1
01_0.99_256_0.0005_0.2,19530,0,92.996,0.758,0.962,1.0,3.235,58.159,32.32,0.1
01_0.99_256_0.0005_0.2,19530,0,93.774,0.703,0.955,1.0,3.015,56.846,27.66,0.12
01_0.99_256_0.0005_0.2,19530,0,97.665,0.875,0.96,1.0,4.235,70.916,22.77,0.12
01_0.99_256_0.0005_0.2,19530,0,85.603,0.516,0.955,1.0,2.09,47.727,32.94,0.11
01_0.99_256_0.0005_0.2,19530,0,90.661,0.332,0.068,1.0,1.023,100.0,13.51,0.09
01_0.99_256_0.0005_0.2,19530,0,87.16,0.345,0.956,2.0,1.214,4.464,33.14,0.11
01_0.99_256_0.0005_0.2,19530,0,89.883,0.332,0.918,2.0,1.103,8.225,29.93,0.1
01_0.99_256_0.0005_0.2,19530,0,89.883,0.332,0.918,2.0,1.103,8.225,29.68,0.1
01_0.99_256_0.0005_0.2,19530,0,89.105,0.338,0.917,2.0,1.161,8.297,32.7,0.1
01_0.99_256_0.0005_0.2,19530,0,93.385,0.735,0.959,1.0,3.155,57.5,32.03,0.11
01_0.99_256_0.0005_0.2,19530,0,90.272,0.523,0.918,1.0,2.118,61.207,26.97,0.11
01_0.99_256_0.0005_0.2,19530,0,93.385,0.627,0.921,1.0,2.653,60.0,28.28,0.11
01_0.99_256_0.0005_0.2,19530,0,97.665,0.875,0.96,1.0,4.235,70.916,22.56,0.12
01_0.99_256_0.0005_0.2,19530,0,91.44,0.8,0.958,1.0,3.868,100.0,16.36,0.07
01_0.99_256_0.0005_0.2,19530,0,93.385,0.735,0.959,1.0,3.155,57.5,32.27,0.11
01_0.99_256_0.0005_0.2,19530,0,90.661,0.332,0.068,1.0,1.023,100.0,14.26,0.09
01_0.99_256_0.0005_0.2,19530,0,90.661,0.332,0.068,1.0,1.023,100.0,14.07,0.09
01_0.99_256_0.0005_0.2,19530,0,93.385,0.735,0.959,1.0,3.155,57.5,34.29,0.11
01_0.99_256_0.0005_0.2,19530,0,93.385,0.735,0.959,1.0,3.155,57.5,32.76,0.11
01_0.99_256_0.0005_0.2,19530,0,93.385,0.735,0.959,1.0,3.155,57.5,30.69,0.11
01_0.99_256_0.0005_0.2,19530,0,93.385,0.627,0.921,1.0,2.653,60.0,30.09,0.11
01_0.99_256_0.0005_0.2,19530,0,86.381,0.397,0.915,1.0,1.556,98.649,30.67,0.11
01_0.99_256_0.0005_0.2,19530,0,90.661,0.332,0.068,1.0,1.023,100.0,13.58,0.09
01_0.99_256_0.0005_0.2,19530,0,90.661,0.332,0.068,1.0,1.023,100.0,13.58,0.09
01_0.99_256_0.0005_0.2,19530,0,89.105,0.354,0.917,1.0,1.272,98.253,28.83,0.11
01_0.99_256_0.0005_0.2,19530,0,90.661,0.332,0.068,1.0,1.023,100.0,13.44,0.09
01_0.99_256_0.0005_0.2,19530,0,90.661,0.332,0.068,1.773,1.023,100.0,13.54,0.09
01_0.99_256_0.0005_0.2,19530,0,90.661,0.332,0.068,1.773,1.023,100.0,13.94,0.09
01_0.99_256_0.0005_0.2,19530,0,90.661,0.332,0.068,1.773,1.023,100.0,13.33,0.09
01_0.99_256_0.0005_0.2,19530,0,90.661,0.332,0.068,1.773,1.023,100.0,13.18,0.09
01_0.99_256_0.0005_0.2,19530,0,80.934,0.489,0.952,1.822,2.1,98.558,35.65,0.12
01_0.99_256_0.0005_0.2,19530,0,80.934,0.489,0.952,1.822,2.1,98.558,36.78,0.12
01_0.99_256_0.0005_0.2,19530,0,93.385,0.735,0.959,1.962,3.155,57.5,31.88,0.11
01_0.99_256_0.0005_0.2,19530,0,92.996,0.319,0.059,1.657,0.892,100.0,5.5,0.44
01_0.99_256_0.0005_0.2,19530,0,95.72,0.644,0.899,1.809,2.731,59.756,19.31,0.48
01_0.99_256_0.0001_0.2,19530,0,19.455,0.724,0.0,0.0,0.612,100.0,29.17,0.45
01_0.99_256_0.0001_0.2,10000,0,22.568,0.754,0.0,0.0,0.637,100.0,26.53,0.49
01_0.99_256_0.0001_0.2,10000,0,22.568,0.754,0.0,0.0,0.637,100.0,30.31,0.49
01_0.99_256_0.0001_0.2,5000,0,51.751,0.156,0.072,0.0,1.004,100.0,23.98,0.58
01_0.99_256_0.0001_0.2,19530,0,93.385,0.304,0.058,0.0,0.842,100.0,11.44,0.46
01_0.99_256_0.0001_0.2,19530,0,91.829,0.312,0.062,0.0,0.88,100.0,22.58,0.31
01_0.99_256_0.0001_0.2,19530,0,91.051,0.309,0.06,0.0,0.865,100.0,21.92,0.39
01_0.99_256_0.0001_0.2,19530,0,91.44,0.312,0.062,0.0,0.873,100.0,22.48,0.32
01_0.99_256_0.0001_0.2,19530,0,92.218,0.31,0.06,0.0,0.89,100.0,22.48,0.35
01_0.99_256_0.0001_0.2,19530,0,77.821,0.354,0.073,0.0,1.093,100.0,19.93,0.15
01_0.99_256_0.0001_0.2,19530,0,86.381,0.324,0.068,0.0,0.971,100.0,16.26,0.26
01_0.99_256_0.0001_0.2,19530,0,78.599,0.362,0.074,0.0,1.119,100.0,21.08,0.1
01_0.99_256_0.0001_0.2,19530,0,86.77,0.33,0.067,0.0,0.983,100.0,15.98,0.29
01_0.99_256_0.0001_0.2,19530,0,86.77,0.33,0.067,1.767,0.98,100.0,14.38,0.25
01_0.99_256_0.0001_0.2,19530,0,87.16,0.326,0.068,1.786,0.977,100.0,14.87,0.23
01_0.99_256_0.0001_0.2,19530,0,78.599,0.353,0.073,1.866,1.095,100.0,30.19,0.1
01_0.99_256_0.0001_0.2,19530,0,93.385,0.304,0.058,1.646,0.842,100.0,11.29,0.43
01_0.99_256_0.0001_0.2,19530,0,87.549,0.322,0.066,1.769,0.942,100.0,34.97,0.07
01_0.99_256_0.0001_0.2,19530,0,92.607,0.315,0.061,1.693,0.899,100.0,22.18,0.35
01_0.99_256_0.0001_0.2,19530,0,90.661,0.305,0.061,1.682,0.853,100.0,31.79,0.35
01_0.99_256_0.0001_0.2,19530,0,92.218,0.313,0.06,1.671,0.888,100.0,73.1,0.35
01_0.99_256_0.0001_0.2,19530,0,92.218,0.307,0.059,1.662,0.868,100.0,42.43,0.39
01_0.99_256_0.0001_0.2,19530,0,91.051,0.309,0.059,1.662,0.865,100.0,45.95,0.39
01_0.99_256_0.0001_0.2,19530,0,92.218,0.31,0.062,1.692,0.881,100.0,39.88,0.36
01_0.99_256_0.0001_0.2,19530,0,91.44,0.318,0.062,1.702,0.892,100.0,41.84,0.42
01_0.99_256_0.0001_0.2,19530,0,89.883,0.316,0.062,1.706,0.884,100.0,48.71,0.32
01_0.99_256_0.0001_0.2,19530,0,82.101,0.341,0.072,1.853,1.063,100.0,20.14,0.09
01_0.99_256_0.0001_0.2,19530,0,80.934,0.338,0.071,1.837,1.047,100.0,18.17,0.18
01_0.99_256_0.0001_0.2,19530,0,80.934,0.337,0.072,1.851,1.043,100.0,17.75,0.18
01_0.99_256_0.0001_0.2,19530,0,81.323,0.341,0.071,1.842,1.05,100.0,17.78,0.14
01_0.99_256_0.0001_0.2,19530,0,82.49,0.335,0.072,1.849,1.053,100.0,17.17,0.15
01_0.99_256_0.0001_0.2,19530,0,91.051,0.304,0.06,1.667,0.86,100.0,50.21,0.36
01_0.99_256_0.0001_0.2,19530,0,82.101,0.338,0.072,1.853,1.059,100.0,20.3,0.14
01_0.99_256_0.0001_0.2,19530,0,81.323,0.339,0.071,1.842,1.048,100.0,22.27,0.2
01_0.99_256_0.0001_0.2,19530,0,71.984,0.379,0.08,1.968,1.208,100.0,23.94,0.09
01_0.99_256_0.0001_0.2,19530,0,77.821,0.366,0.074,1.895,1.128,100.0,20.36,0.19
01_0.99_256_0.0001_0.2,19530,0,77.821,0.365,0.075,1.91,1.137,100.0,19.63,0.19
01_0.99_256_0.0001_0.2,19530,0,77.821,0.365,0.075,1.895,1.13,100.0,25.02,0.18
01_0.99_256_0.0001_0.2,19530,0,85.214,0.336,0.072,1.845,1.043,100.0,18.73,0.26
01_0.99_256_0.0001_0.2,19530,0,78.599,0.366,0.075,1.906,1.146,100.0,21.98,0.09
01_0.99_256_0.0001_0.2,19530,0,77.432,0.365,0.075,1.894,1.134,100.0,23.68,0.09
01_0.99_256_0.0001_0.2,19530,0,77.432,0.365,0.074,1.889,1.124,100.0,24.65,0.1
01_0.99_256_0.0001_0.2,19530,0,81.712,0.34,0.072,1.848,1.055,100.0,22.71,0.15
01_0.99_256_0.0001_0.2,19530,0,81.712,0.337,0.072,1.848,1.056,100.0,19.29,0.15
01_0.99_256_0.0001_0.2,19530,0,81.712,0.338,0.071,1.838,1.053,100.0,19.24,0.15
