# {"t_start": 1702366737.8647463, "env_id": "german-nr-v01"} 
r,l,t
10.642901,63,411.623325
25.792716,67,411.973912
-179.682326,102,412.306778
7.652261,68,412.550494
-53.692308,75,412.958897
39.656126,55,413.203726
43.032552,53,413.436202
52.672307,47,413.630436
20.752693,67,413.852624
-33.084402,43,414.149811
72.668568,53,414.363263
33.946885,44,414.517426
4.072722,48,414.70785
1.448226,63,414.904589
34.869454,46,415.201719
22.996175,59,415.437589
-6.294456,55,415.66508
-46.032091,54,415.885595
45.363879,44,416.05092
40.798424,54,416.411123
40.706742,55,416.595119
16.81283,41,416.75789
42.98258,49,416.946713
33.856262,46,417.099223
53.30223,51,417.424303
11.533416,59,417.618954
-38.387599,62,417.813842
37.072403,36,417.947931
-24.164595,50,418.139006
33.759276,46,418.504669
11.019948,59,418.693626
10.833111,60,418.902422
25.937489,41,419.037255
-70.70751,69,419.264383
-53.476732,77,419.655073
36.554707,36,419.778743
-4.422833,44,419.938754
-113.405653,86,420.21262
-16.534539,57,420.607991
29.031259,59,420.840814
-8.029717,59,421.090382
-80.226118,74,421.369316
92.603593,45,421.722938
12.969963,56,421.930111
45.344075,43,422.085908
8.176349,63,422.331412
14.323303,46,422.495624
55.678587,48,422.855703
55.346231,41,423.010524
22.084511,54,423.235291
-51.600569,74,423.545142
-66.510542,61,423.79299
-26.934709,55,424.149421
25.635834,46,424.334882
-28.840774,64,424.545656
20.788401,64,424.76071
-68.970343,73,425.155372
-34.990775,50,425.320539
-65.187808,58,425.516629
-15.115941,49,425.685398
-133.952535,87,426.124869
32.880718,49,426.293136
23.585889,50,426.463953
-5.783938,49,426.6362
33.164606,63,426.856338
-15.667258,55,427.207862
23.040482,56,427.436855
32.083556,54,427.708468
56.650255,43,427.927889
-1.572434,68,428.368744
24.518632,46,428.950978
-76.659752,60,429.280108
33.525858,48,429.446262
34.023593,51,429.615109
-37.223578,57,429.802034
35.29442,42,430.089179
4.399537,47,430.252921
33.232654,51,430.44408
43.279763,46,430.597693
-14.841311,80,431.010066
-29.494295,64,431.230726
-17.433106,54,431.41256
13.104277,52,431.586882
86.207928,34,431.705197
35.513797,45,431.870404
-27.617111,58,432.242357
-26.647104,55,432.452991
-6.751205,55,432.636083
-14.991153,49,432.835145
-27.117082,55,433.171211
-15.155078,47,433.328045
-15.91573,51,433.498865
-10.66254,66,433.71677
55.038673,44,433.904222
73.890138,47,434.293477
-10.089521,64,434.595336
19.435013,59,434.806044
15.734374,42,434.963269
-28.207717,57,435.157577
2.87452,51,435.511682
36.297347,40,435.685237
-127.259752,65,435.900721
34.324167,43,436.077691
-9.364245,58,436.305112
-31.483791,69,436.759659
31.64361,54,436.977484
13.533372,53,437.187913
-72.309428,76,437.434453
44.940401,43,437.721699
22.044165,54,437.937362
-50.273483,70,438.167583
29.353799,57,438.368708
61.020404,50,438.548825
-34.250361,53,438.873255
35.366729,47,439.033244
53.357801,47,439.194853
-16.406698,52,439.363584
32.065834,52,439.546179
11.974502,56,439.91096
44.154476,48,440.106409
74.589325,41,440.284929
53.300236,48,440.481056
3.801289,51,440.673761
6.522039,40,441.001666
53.21692,48,441.173339
54.005087,46,441.326597
33.369186,49,441.505268
35.049911,47,441.696824
-47.419071,60,442.046806
75.239588,40,442.177983
-6.439953,56,442.369441
37.071599,36,442.514338
-6.375876,53,442.680286
11.505892,56,442.879915
15.552344,42,443.16649
66.209075,38,443.305849
93.765995,39,443.445184
55.885319,40,443.603211
-25.8713,54,443.789602
-27.178512,54,444.133952
36.284341,43,444.269303
52.181597,49,444.449699
-16.416264,54,444.63575
75.748652,36,444.777028
12.20006,52,444.990554
-35.474817,55,445.348222
-6.992193,58,445.536699
-36.329903,56,445.731704
85.646085,36,445.886839
14.896431,47,446.063724
45.137182,42,446.394878
64.570603,40,446.553589
-7.378197,54,446.745394
64.191411,42,446.919465
20.103875,62,447.129889
-8.659735,56,447.486432
54.87897,44,447.649859
-5.943991,50,447.82201
31.903062,61,448.012193
-74.166979,80,448.268876
83.987251,40,448.561252
-165.714489,94,448.884295
53.579538,45,449.049037
23.195266,48,449.199157
25.873557,46,449.528102
55.229137,40,449.658366
1.394018,60,449.846045
37.555493,62,450.067062
34.378424,46,450.217701
-8.58676,62,450.573353
39.333646,59,450.777344
56.187855,36,450.922137
21.764927,56,451.11306
45.451887,41,451.25071
-1.41102,69,451.619041
63.511612,45,451.763763
-47.930043,60,451.947396
23.120776,51,452.139683
64.46259,40,452.27027
-13.628585,43,452.633687
-25.594058,49,452.792818
43.877655,51,452.993565
3.051599,55,453.175921
45.875024,37,453.303548
21.830283,56,453.651532
64.322106,43,453.789514
17.31418,67,454.006842
45.331852,39,454.139918
-7.316638,53,454.327329
-65.862291,57,454.657349
54.833804,41,454.802904
84.18405,46,454.9751
75.944145,34,455.085407
75.294961,37,455.203811
-98.776475,66,455.446251
73.882448,41,455.713412
-47.258394,59,455.922986
