# {"t_start": 1702256277.8914988, "env_id": "adult-v01"} 
r,l,t
89.919145,2,7520.933848
99.919145,1,7521.294607
99.919145,1,7521.655076
99.919145,1,7522.015776
99.919145,1,7522.371267
99.919145,1,7522.732262
99.919145,1,7523.084468
99.913665,1,7523.441289
99.913665,1,7523.797562
99.913665,1,7524.14609
99.914877,1,7524.496122
99.913665,1,7524.847593
89.913665,2,7525.201515
99.913665,1,7525.55883
99.913665,1,7525.910307
99.913665,1,7526.264256
99.913665,1,7526.617628
99.913665,1,7526.97052
99.913665,1,7527.325724
99.913665,1,7527.678051
99.913665,1,7528.034693
99.913665,1,7528.385483
69.913665,4,7528.745685
99.913665,1,7529.100098
99.913665,1,7529.452459
89.908186,2,7529.810161
99.908186,1,7530.162789
99.909398,1,7530.519069
99.908186,1,7530.867748
79.902707,3,7531.346535
99.902707,1,7531.694944
99.902707,1,7532.042811
99.897227,1,7532.396909
99.897227,1,7532.745892
99.897227,1,7533.10247
99.897227,1,7533.449686
79.897227,3,7533.810615
99.897227,1,7534.171495
99.897227,1,7534.52266
99.897227,1,7534.877975
99.897227,1,7535.225411
99.897227,1,7535.579006
79.897227,3,7535.939769
99.897227,1,7536.290979
99.897227,1,7536.64079
99.897227,1,7536.99508
99.897227,1,7537.340357
99.891748,1,7537.694959
79.891748,3,7538.052793
69.891748,4,7538.409108
99.891748,1,7538.765818
99.891748,1,7539.120026
99.891748,1,7539.472343
99.891748,1,7539.830709
99.891748,1,7540.182815
99.891748,1,7540.533513
99.891748,1,7540.888921
99.891748,1,7541.24116
99.891748,1,7541.593031
69.891748,4,7541.955984
99.891748,1,7542.305947
99.891748,1,7542.657486
89.891748,2,7543.016292
99.891748,1,7543.367781
99.891748,1,7543.719953
99.891748,1,7544.076314
89.891748,2,7544.427112
99.891748,1,7544.778563
89.886268,2,7545.136318
99.886268,1,7545.488048
79.886268,3,7545.841533
99.886268,1,7546.194649
89.88748,2,7546.54137
99.886268,1,7546.891082
99.886268,1,7547.246696
89.886268,2,7547.600987
99.886268,1,7547.952879
79.886268,3,7548.312341
99.886268,1,7548.662097
79.886268,3,7549.016891
79.886268,3,7549.377017
89.886268,2,7549.730478
99.886268,1,7550.082016
99.886268,1,7550.437865
89.886268,2,7550.792069
99.880789,1,7551.145588
99.880789,1,7551.504018
89.880789,2,7551.85862
99.880789,1,7552.209782
99.880789,1,7552.566369
99.880789,1,7552.916345
99.880789,1,7553.26302
79.880789,3,7553.624914
89.880789,2,7553.982224
99.880789,1,7554.334232
79.87531,3,7554.696161
99.87531,1,7555.048471
99.87531,1,7555.400966
99.87531,1,7555.758279
99.87531,1,7556.110692
99.86983,1,7556.461545
69.86983,4,7556.823605
99.86983,1,7557.174813
99.86983,1,7557.525923
69.86983,4,7557.889337
99.86983,1,7558.239816
99.86983,1,7558.59014
99.864351,1,7558.946676
99.864351,1,7559.29734
99.864351,1,7559.651297
89.864351,2,7560.010298
99.864351,1,7560.361056
99.864351,1,7560.712017
99.864351,1,7561.067956
99.858871,1,7561.419825
99.858871,1,7561.772542
99.858871,1,7562.125267
89.858871,2,7562.475984
99.858871,1,7562.824947
89.858871,2,7563.18291
99.858871,1,7563.535732
99.858871,1,7563.890376
99.858871,1,7564.244615
99.858871,1,7564.595479
99.858871,1,7564.951256
99.858871,1,7565.302868
79.858871,3,7565.658027
99.858871,1,7566.012973
89.858871,2,7566.368022
99.858871,1,7566.719242
99.858871,1,7567.07537
99.858871,1,7567.425688
89.858871,2,7567.77923
99.858871,1,7568.135474
89.858871,2,7568.490206
89.858871,2,7568.841771
89.858871,2,7569.188301
99.858871,1,7569.520135
99.853392,1,7569.86199
