# {"t_start": 1702357745.1131442, "env_id": "german-v01"} 
r,l,t
1.209359,89,685.331594
-58.793756,86,685.842296
59.338919,85,686.329696
-49.012593,88,686.933267
-7.288924,81,687.379881
-35.895061,75,687.765567
3.342775,80,688.392229
22.951186,76,688.809341
6.062369,67,689.184599
-13.792176,71,689.690246
-9.20261,83,690.137548
22.39219,75,690.559688
-27.469255,84,691.04727
56.444784,61,691.530981
34.015282,69,691.906466
-38.503963,89,692.389062
-37.304112,79,692.934251
45.456793,67,693.300028
46.86374,65,693.670597
-17.23951,84,694.125708
-12.026448,89,694.744895
3.116756,79,695.164822
-3.347713,68,695.526857
2.328309,77,696.129377
-49.721862,98,696.656063
25.707315,67,697.023695
-17.250416,78,697.582659
-98.608651,90,698.05933
-26.287952,78,698.486374
33.167198,72,699.034263
-5.43739,75,699.443222
-74.580949,79,699.854098
-4.196488,72,700.241291
13.864309,76,700.796032
45.258407,63,701.167402
-14.366625,76,701.575387
34.960933,68,702.087447
-0.304132,83,702.532788
15.943983,66,702.895328
46.468882,63,703.254158
43.243083,75,703.808655
0.605727,82,704.25645
3.369797,76,704.671627
23.904572,69,705.184511
5.567926,70,705.563244
62.072617,71,705.967637
54.99786,69,706.375748
26.47867,63,706.864958
-17.957344,80,707.308573
28.322548,62,707.672992
-97.276203,88,708.281829
-98.958262,94,708.777542
26.560516,67,709.148221
42.760943,75,709.576513
7.131512,69,710.099594
35.659056,67,710.475291
-3.482688,71,710.908334
-29.14286,83,711.515772
12.169215,76,711.940477
25.713651,63,712.288535
23.933887,70,712.67847
-19.899886,92,713.338461
-36.432579,82,713.777503
-24.302331,74,714.167625
1.725402,82,714.761062
25.766503,66,715.136928
-5.500946,72,715.516427
-6.292296,79,716.124085
24.968015,70,716.510851
34.224086,68,716.8957
34.133229,77,717.335512
-47.416535,81,717.9116
-41.670793,65,718.256557
-50.10443,90,718.735308
2.790414,74,719.292781
-18.588454,83,719.744776
12.682834,78,720.18043
-77.033907,86,720.777753
4.62017,73,721.173712
3.143667,78,721.608503
23.061351,80,722.060165
-4.386716,70,722.573289
-36.479346,79,722.989765
-16.788558,79,723.414575
68.205139,57,723.884723
13.330729,78,724.32037
-4.129902,72,724.713717
-46.214319,83,725.286544
24.217626,70,725.679993
6.67636,64,726.031527
-3.929316,73,726.42429
13.034654,82,727.019603
-26.101488,80,727.448382
-11.114668,58,727.754499
66.799312,56,728.077474
-5.936852,77,728.624519
15.853452,67,729.002335
27.828694,60,729.332451
33.319623,75,729.750726
25.945733,66,730.251742
-26.079998,74,730.654086
33.843938,69,731.041036
25.753043,67,731.555509
-26.11701,76,731.954012
26.410837,64,732.319026
57.035671,61,732.660165
12.065035,76,733.203048
12.988011,73,733.603224
21.518609,79,734.038301
14.281664,68,734.54555
-4.826808,70,734.919723
29.315942,84,735.387236
15.42581,68,735.769217
-27.601211,79,736.330772
34.156354,69,736.717879
33.732204,76,737.134432
-47.073974,82,737.727883
36.668833,66,738.094702
36.622769,66,738.456133
-6.728976,83,738.908968
56.875072,58,739.383571
12.262188,79,739.817932
46.743872,61,740.16055
12.468464,76,740.572172
64.434409,67,741.110711
26.936157,63,741.460913
2.946298,79,741.895412
33.033066,70,742.432349
3.11415,76,742.841331
23.272927,74,743.273267
43.988412,71,743.667471
66.539743,63,744.174815
37.416017,61,744.511591
-6.634358,77,744.935562
24.875211,68,745.314543
36.049526,65,745.806551
64.802186,69,746.198151
75.754606,59,746.546144
5.408323,75,747.090296
-4.393459,68,747.459361
21.048478,79,747.887163
1.378439,78,748.314742
3.669599,78,748.878812
35.493318,67,749.250642
26.246696,67,749.6212
-14.251809,70,750.137235
47.319127,59,750.469455
55.478172,65,750.842247
45.37712,67,751.22114
-3.061298,68,751.729829
35.725706,65,752.098416
35.588871,66,752.458689
-55.251103,75,752.854217
53.726814,74,753.406613
3.56407,78,753.851615
36.245399,62,754.189673
14.521173,70,754.572554
-7.391256,77,755.129513
46.336259,61,755.478399
15.908123,65,755.880178
66.177683,64,756.244286
-12.811469,69,756.739288
35.675208,63,757.100511
55.243502,63,757.449215
36.175356,64,757.800878
-16.464982,77,758.391147
23.654036,71,758.79291
45.365179,64,759.157688
8.153164,62,759.631596
6.249409,68,760.004913
26.117426,66,760.420766
-36.34099,78,760.830297
25.448409,66,761.326269
34.405005,69,761.710988
4.245549,71,762.109972
20.493549,81,762.695944
13.752577,74,763.098045
-45.456973,78,763.516051
31.991371,71,763.916466
45.2459,68,764.458036
35.453542,62,764.80627
-25.921854,75,765.220972
25.693018,66,765.594943
43.705333,69,766.107276
5.897489,67,766.480088
27.347523,64,766.843179
25.428479,71,767.372878
36.427316,63,767.724923
44.561089,66,768.090765
35.620384,65,768.450561
76.783776,57,768.827141
34.559459,70,769.353218
42.63681,72,769.750553
4.144269,75,770.157881
16.035794,71,770.718788
26.165181,67,771.093611
13.425641,75,771.496106
25.156929,64,771.847664
28.916595,56,772.300526
36.041188,65,772.671608
-25.87056,77,773.090945
35.95481,66,773.471485
24.401215,67,773.983191
36.572552,59,774.319866
65.088278,66,774.700118
24.274159,69,775.083804
35.638653,66,775.594302
54.073229,68,775.990324
76.948345,57,776.32524
26.483285,70,776.711133
55.35032,66,777.228701
39.001133,57,777.55511
24.845503,72,777.948592
17.018005,63,778.313312
26.139287,64,778.798797
4.657878,73,779.197943
-3.257031,66,779.561733
23.936239,72,780.094731
-3.50529,70,780.477416
56.170743,61,780.822057
35.042344,65,781.189592
-50.801882,93,781.819192
44.626256,73,782.230668
-14.925685,76,782.648574
27.093112,61,783.113183
16.999545,65,783.463362
35.773934,66,783.830621
25.011251,66,784.187574
47.19067,60,784.66519
75.323408,63,785.026013
3.202872,77,785.439491
26.175563,70,785.823864
31.872114,73,786.374099
37.496577,58,786.692733
44.786169,68,787.07371
-55.7209,78,787.476311
5.269521,77,788.064597
6.580135,62,788.429062
-16.032401,75,788.851184
17.04802,63,789.326508
27.999149,60,789.680616
37.583297,59,790.026279
45.115582,64,790.400086
47.036739,59,790.735189
55.805446,64,791.262194
5.582921,69,791.640254
55.097468,66,792.020134
15.80686,68,792.397246
36.792018,62,792.898046
58.06928,54,793.210042
36.065523,61,793.540226
36.062339,61,793.873385
-38.347263,91,794.520001
45.361401,63,794.894057
43.105465,68,795.276257
33.718079,70,795.795372
38.471024,55,796.094378
36.302773,69,796.494515
35.318429,67,796.915354
56.618187,62,797.4092
25.131072,69,797.789773
57.875071,59,798.132255
26.740709,63,798.482589
77.722096,55,798.954552
16.757664,61,799.285706
36.503988,66,799.657538
27.764927,61,799.999127
44.119361,72,800.557274
56.812142,60,800.894908
24.935711,66,801.249723
26.383855,64,801.622432
27.464066,61,802.129518
37.417183,60,802.458857
34.371831,67,802.840105
23.89538,72,803.243256
4.934952,70,803.757154
34.01428,71,804.160337
85.716247,61,804.543132
37.105431,59,804.872258
86.879675,55,805.334841
58.792706,54,805.640333
33.975012,72,806.043187
14.453879,70,806.45535
24.985042,68,806.9693
46.372741,57,807.291838
55.969728,60,807.634346
15.831124,66,807.994291
65.015981,67,808.540056
57.167316,62,808.890911
45.16635,64,809.250242
87.195546,53,809.552918
